id_num,id,state,lastLocationUpdate,lastStateChange,batteryLevel,lat,lng,zoneId,code,licencePlate,isRentable,max_lev,geometry
6621,e6213248-da23-4104-8c09-617a89a1ff17,ACTIVE,2020-06-11 22:28:26+00:00,2020-06-10 19:52:40+00:00,90.0,49.480332,8.460032,MANNHEIM-LUDWIGSHAFEN,122449,125WSD,1,20.0,POINT (8.460032 49.480332)
6622,dd8d28b0-443e-4f2a-ac8a-d0a3b7b2e32f,ACTIVE,2020-06-11 22:24:40+00:00,2020-06-10 19:52:40+00:00,85.0,49.480311,8.460004,MANNHEIM-LUDWIGSHAFEN,113371,398WSD,1,20.0,POINT (8.460004 49.480311)
6623,e197cc2f-9e27-4c99-91f5-487cf517aa50,ACTIVE,2020-06-11 22:25:31+00:00,2020-06-09 20:51:31+00:00,75.0,49.399873,8.648377,HEIDELBERG,117411,216WUI,1,20.0,POINT (8.648377 49.399873)
6624,b76fedff-6572-443c-af24-ccdde7814a28,ACTIVE,2020-06-11 22:24:34+00:00,2020-06-05 19:52:38+00:00,52.0,49.493754,8.467058,MANNHEIM-LUDWIGSHAFEN,114981,458WUG,1,20.0,POINT (8.467058 49.493754)
6625,596f3f36-7183-40f4-94af-6495c3aaf8dd,ACTIVE,2020-06-11 22:28:39+00:00,2020-06-10 19:52:40+00:00,77.0,49.433077,8.529128,MANNHEIM-LUDWIGSHAFEN,123741,812WSE,1,20.0,POINT (8.529128 49.433077)
6626,21b05739-caad-46fd-a178-64391cff141c,ACTIVE,2020-06-11 22:26:46+00:00,2020-06-10 19:52:40+00:00,52.0,49.504877,8.492744,MANNHEIM-LUDWIGSHAFEN,122555,790WSD,1,20.0,POINT (8.492744 49.504877)
6627,dfabfb0b-378d-485d-baf5-cd8bcb0894df,ACTIVE,2020-06-11 22:28:42+00:00,2020-06-09 20:51:31+00:00,34.0,49.407862,8.63934,HEIDELBERG,112553,743WSD,1,20.0,POINT (8.639340000000001 49.407862)
6628,a1c99d81-f5d8-422f-be43-08372404731e,ACTIVE,2020-06-11 22:21:20+00:00,2020-06-09 20:52:37+00:00,97.0,49.479387,8.488007,MANNHEIM-LUDWIGSHAFEN,125389,942WSE,1,20.0,POINT (8.488007 49.479387)
6629,e99dfa54-8025-4926-bbec-c49ccd6d25c2,ACTIVE,2020-06-11 22:26:29+00:00,2020-06-10 19:52:40+00:00,70.0,49.474892,8.534659,MANNHEIM-LUDWIGSHAFEN,122559,745WUI,1,20.0,POINT (8.534659 49.474892)
6630,1ce5a5a5-2514-459b-8037-f71594348dae,ACTIVE,2020-06-11 22:20:40+00:00,2020-06-11 19:52:16+00:00,97.0,49.480875,8.484402,MANNHEIM-LUDWIGSHAFEN,113261,862WSD,1,20.0,POINT (8.484401999999999 49.480875)
6631,f0376c0d-dee4-4669-bd3c-983875b9086b,ACTIVE,2020-06-11 22:24:47+00:00,2020-06-11 19:52:16+00:00,72.0,49.496575,8.486771,MANNHEIM-LUDWIGSHAFEN,124629,341WUG,1,20.0,POINT (8.486770999999999 49.496575)
6632,4fdf4be2-b0b6-44c1-80b8-3b539cd09be9,ACTIVE,2020-06-11 22:21:07+00:00,2020-06-11 19:52:16+00:00,59.0,49.49664,8.486677,MANNHEIM-LUDWIGSHAFEN,122641,184WSD,1,20.0,POINT (8.486677 49.49664)
6633,95fd7978-0631-4195-b255-5db85f3cad35,ACTIVE,2020-06-11 22:27:44+00:00,2020-06-04 19:52:36+00:00,35.0,49.413577,8.71686,HEIDELBERG,112623,311WUG,1,20.0,POINT (8.71686 49.413577)
6634,ea1336c4-0b14-47bc-844c-aa142b7a0315,ACTIVE,2020-06-11 22:23:51+00:00,2020-06-10 19:52:40+00:00,61.0,49.484467,8.469921,MANNHEIM-LUDWIGSHAFEN,119874,752WSD,1,20.0,POINT (8.469920999999999 49.484467)
6635,2b82d961-79fd-4895-a6ab-c3a272c48b8a,ACTIVE,2020-06-11 22:25:16+00:00,2020-06-09 20:52:37+00:00,76.0,49.484752,8.466402,MANNHEIM-LUDWIGSHAFEN,124925,975WSD,1,20.0,POINT (8.466402 49.484752)
6636,7387111e-6a8b-412b-aea8-ac41bed50018,ACTIVE,2020-06-11 22:29:06+00:00,2020-06-11 19:52:16+00:00,84.0,49.508562,8.531966,MANNHEIM-LUDWIGSHAFEN,120973,533WUG,1,20.0,POINT (8.531966000000001 49.508562)
6637,22a5f273-e93d-49d8-98ba-59f7c5520c1e,ACTIVE,2020-06-11 22:24:23+00:00,2020-06-11 19:52:16+00:00,96.0,49.490697,8.525418,MANNHEIM-LUDWIGSHAFEN,124502,616WSD,1,20.0,POINT (8.525418 49.490697)
6638,0ae92a95-ff5f-47dc-aa21-b706b5b2ca84,ACTIVE,2020-06-11 22:25:34+00:00,2020-06-09 20:51:31+00:00,76.0,49.376228,8.674617,HEIDELBERG,118915,362WUG,1,20.0,POINT (8.674617 49.376228)
6639,7ec1d39a-ce3b-4712-8ec1-a33c108aa756,ACTIVE,2020-06-11 22:26:01+00:00,2020-06-09 20:51:31+00:00,93.0,49.402881,8.675536,HEIDELBERG,121254,585WSD,1,20.0,POINT (8.675535999999999 49.402881)
